digest,producer,creator,producer_folder,class,pre_path,post_path
"IWBFGFBEXBD54JGRHBZM5V2BUAZTRO4R","iText 2.1.4 (by lowagie.com)","-","iText 2.1.4 (by lowagie.com)","iText","output/by_producer/iText 2.1.4 (by lowagie.com)/IWBFGFBEXBD54JGRHBZM5V2BUAZTRO4R_pre.pdf","output/by_producer/iText 2.1.4 (by lowagie.com)/IWBFGFBEXBD54JGRHBZM5V2BUAZTRO4R_post.pdf"
"KMUKXIW52KNJ3JJJ2LO5QOW2G6FTJ45W","QuarkXPress(tm) 6.5","QuarkXPress(tm) 6.5","QuarkXPress(tm) 6.5","Unknown","output/by_producer/QuarkXPress(tm) 6.5/KMUKXIW52KNJ3JJJ2LO5QOW2G6FTJ45W_pre.pdf","output/by_producer/QuarkXPress(tm) 6.5/KMUKXIW52KNJ3JJJ2LO5QOW2G6FTJ45W_post.pdf"
"YQZG4CHDFUMUUDUEO2IY3GSWB4YCIKJI","Etymon PJ 1.10, Copyright (C) 1998-2000 Etymon Systems, Inc. <http://www.etymon.com/>.","Acrobat Capture 3.0","Etymon PJ 1.10, Copyright (C) 1998-2000 Etymon Systems, Inc. <http___www.etymon.com_>.","Unknown","output/by_producer/Etymon PJ 1.10, Copyright (C) 1998-2000 Etymon Systems, Inc. <http___www.etymon.com_>./YQZG4CHDFUMUUDUEO2IY3GSWB4YCIKJI_pre.pdf","output/by_producer/Etymon PJ 1.10, Copyright (C) 1998-2000 Etymon Systems, Inc. <http___www.etymon.com_>./YQZG4CHDFUMUUDUEO2IY3GSWB4YCIKJI_post.pdf"
"MILX4ZNQNYZNUWXL5SKQBFS2TJFYYSGU","Hewlett-Packard Intelligent Scanning Technology 3","-","Hewlett-Packard Intelligent Scanning Technology 3","Capture_Scan_Plugins","output/by_producer/Hewlett-Packard Intelligent Scanning Technology 3/MILX4ZNQNYZNUWXL5SKQBFS2TJFYYSGU_pre.pdf","output/by_producer/Hewlett-Packard Intelligent Scanning Technology 3/MILX4ZNQNYZNUWXL5SKQBFS2TJFYYSGU_post.pdf"
"64PJRWTXR43NVMTQCZGEFDUZA3JMJTD7","Acrobat Distiller 5.0 (Windows)","Adobe Illustrator(R) 8.0","Acrobat Distiller 5.0 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 5.0 (Windows)/64PJRWTXR43NVMTQCZGEFDUZA3JMJTD7_pre.pdf","output/by_producer/Acrobat Distiller 5.0 (Windows)/64PJRWTXR43NVMTQCZGEFDUZA3JMJTD7_post.pdf"
"7CIFOV7XZXS6EHUFYZF6H3NCN637PI2M","Acrobat Distiller 8.0.0 (Windows)","PScript5.dll Version 5.2.2","Acrobat Distiller 8.0.0 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 8.0.0 (Windows)/7CIFOV7XZXS6EHUFYZF6H3NCN637PI2M_pre.pdf","output/by_producer/Acrobat Distiller 8.0.0 (Windows)/7CIFOV7XZXS6EHUFYZF6H3NCN637PI2M_post.pdf"
"D2FRDPDTXJKVTJKEBESWUWBYZDJRBNAI","TCPDF 2.5.000_PHP4 (http://www.tcpdf.org)","Joomla! 1.5 - Open Source Content Management","TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)","TCPDF","output/by_producer/TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)/D2FRDPDTXJKVTJKEBESWUWBYZDJRBNAI_pre.pdf","output/by_producer/TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)/D2FRDPDTXJKVTJKEBESWUWBYZDJRBNAI_post.pdf"
"GFZKIRYHHR2NZTPACKJY5MTG5X3CYGEX","TCPDF 2.5.000_PHP4 (http://www.tcpdf.org)","Joomla! 1.5 - Open Source Content Management","TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)","TCPDF","output/by_producer/TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)/GFZKIRYHHR2NZTPACKJY5MTG5X3CYGEX_pre.pdf","output/by_producer/TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)/GFZKIRYHHR2NZTPACKJY5MTG5X3CYGEX_post.pdf"
"6REZDVWAZINCN3EC63464SLUVI2QJHJW","Acrobat Distiller 7.0.5 (Windows)","FrameMaker 7.1","Acrobat Distiller 7.0.5 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 7.0.5 (Windows)/6REZDVWAZINCN3EC63464SLUVI2QJHJW_pre.pdf","output/by_producer/Acrobat Distiller 7.0.5 (Windows)/6REZDVWAZINCN3EC63464SLUVI2QJHJW_post.pdf"
"AOSZGPMOO45NZWZW33KQ6GJTNMFZREWT","Adobe PDF Library 5.0.5","HP PDF Formatter version 3.2.0.1100","Adobe PDF Library 5.0.5","Adobe_PDF_Library","output/by_producer/Adobe PDF Library 5.0.5/AOSZGPMOO45NZWZW33KQ6GJTNMFZREWT_pre.pdf","output/by_producer/Adobe PDF Library 5.0.5/AOSZGPMOO45NZWZW33KQ6GJTNMFZREWT_post.pdf"
"OOCZ65LSQNV54SSBIQ5C2LVLOZNKUXH3","Acrobat Distiller 7.0.5 (Windows)","Acrobat PDFMaker 7.0.5 for Word","Acrobat Distiller 7.0.5 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 7.0.5 (Windows)/OOCZ65LSQNV54SSBIQ5C2LVLOZNKUXH3_pre.pdf","output/by_producer/Acrobat Distiller 7.0.5 (Windows)/OOCZ65LSQNV54SSBIQ5C2LVLOZNKUXH3_post.pdf"
"H7U4KMXPQKUBDKIPQQRC6ETJZEZR3OCZ","iText 2.1.4 (by lowagie.com)","Federal Digital System, U. S. Government Publishing Office","iText 2.1.4 (by lowagie.com)","iText","output/by_producer/iText 2.1.4 (by lowagie.com)/H7U4KMXPQKUBDKIPQQRC6ETJZEZR3OCZ_pre.pdf","output/by_producer/iText 2.1.4 (by lowagie.com)/H7U4KMXPQKUBDKIPQQRC6ETJZEZR3OCZ_post.pdf"
"S2UVWECYPR7LVAESLI2OMTZOVVDIEP2S","Acrobat Distiller 9.0.0 (Windows)","PScript5.dll Version 5.2.2","Acrobat Distiller 9.0.0 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 9.0.0 (Windows)/S2UVWECYPR7LVAESLI2OMTZOVVDIEP2S_pre.pdf","output/by_producer/Acrobat Distiller 9.0.0 (Windows)/S2UVWECYPR7LVAESLI2OMTZOVVDIEP2S_post.pdf"
"J4I447QIORVBVIFCBZ5GIOKV7MPWYRXU","PDFScanLib v1.2.2 in Adobe Acrobat 8.1.1","FUJITSU fi-6230dj","PDFScanLib v1.2.2 in Adobe Acrobat 8.1.1","Unknown","output/by_producer/PDFScanLib v1.2.2 in Adobe Acrobat 8.1.1/J4I447QIORVBVIFCBZ5GIOKV7MPWYRXU_pre.pdf","output/by_producer/PDFScanLib v1.2.2 in Adobe Acrobat 8.1.1/J4I447QIORVBVIFCBZ5GIOKV7MPWYRXU_post.pdf"
"SUR4MPI7WKZHIFC6ZGVOWBXD6JWE76BV","PDFScanLib v1.2.2 in Adobe Acrobat 8.1.1","FUJITSU fi-6230dj","PDFScanLib v1.2.2 in Adobe Acrobat 8.1.1","Unknown","output/by_producer/PDFScanLib v1.2.2 in Adobe Acrobat 8.1.1/SUR4MPI7WKZHIFC6ZGVOWBXD6JWE76BV_pre.pdf","output/by_producer/PDFScanLib v1.2.2 in Adobe Acrobat 8.1.1/SUR4MPI7WKZHIFC6ZGVOWBXD6JWE76BV_post.pdf"
"QDT4ROBASSEPQJ22EDUO3HLP3NB2IIBC","Acrobat Distiller 7.0.5 (Windows)","PScript5.dll Version 5.2","Acrobat Distiller 7.0.5 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 7.0.5 (Windows)/QDT4ROBASSEPQJ22EDUO3HLP3NB2IIBC_pre.pdf","output/by_producer/Acrobat Distiller 7.0.5 (Windows)/QDT4ROBASSEPQJ22EDUO3HLP3NB2IIBC_post.pdf"
"OWLJR34JMJW772HNLGCF6O64GCY6QTTP","GPL Ghostscript 8.15","PScript5.dll Version 5.2.2","GPL Ghostscript 8.15","Ghostscript","output/by_producer/GPL Ghostscript 8.15/OWLJR34JMJW772HNLGCF6O64GCY6QTTP_pre.pdf","output/by_producer/GPL Ghostscript 8.15/OWLJR34JMJW772HNLGCF6O64GCY6QTTP_post.pdf"
"4JVIYSW2MHWPE5BXGXLAXTNMHGHJFPUP","Acrobat Distiller 7.0 (Windows)","PScript5.dll Version 5.2.2","Acrobat Distiller 7.0 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 7.0 (Windows)/4JVIYSW2MHWPE5BXGXLAXTNMHGHJFPUP_pre.pdf","output/by_producer/Acrobat Distiller 7.0 (Windows)/4JVIYSW2MHWPE5BXGXLAXTNMHGHJFPUP_post.pdf"
"6RZXET5EGN7QMGM5PROIXJI447YTCETZ","GPL Ghostscript 8.15","PScript5.dll Version 5.2.2","GPL Ghostscript 8.15","Ghostscript","output/by_producer/GPL Ghostscript 8.15/6RZXET5EGN7QMGM5PROIXJI447YTCETZ_pre.pdf","output/by_producer/GPL Ghostscript 8.15/6RZXET5EGN7QMGM5PROIXJI447YTCETZ_post.pdf"
"SA3EKMNRN4KHJYVMDDBOUIQTZIV3ZVJH","Acrobat Distiller 6.0 (Windows)","PScript5.dll Version 5.2","Acrobat Distiller 6.0 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 6.0 (Windows)/SA3EKMNRN4KHJYVMDDBOUIQTZIV3ZVJH_pre.pdf","output/by_producer/Acrobat Distiller 6.0 (Windows)/SA3EKMNRN4KHJYVMDDBOUIQTZIV3ZVJH_post.pdf"
"KKUB224LBBU5Q6QF3I52V7NM5BFDXKMA","Acrobat Distiller 6.0.1 (Windows)","Windows NT 4.0","Acrobat Distiller 6.0.1 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 6.0.1 (Windows)/KKUB224LBBU5Q6QF3I52V7NM5BFDXKMA_pre.pdf","output/by_producer/Acrobat Distiller 6.0.1 (Windows)/KKUB224LBBU5Q6QF3I52V7NM5BFDXKMA_post.pdf"
"NM76DD2NN5OG5VHK5TQMZV3OO3T6UDAK","Acrobat Distiller 4.0 for Windows","-","Acrobat Distiller 4.0 for Windows","Acrobat_Distiller","output/by_producer/Acrobat Distiller 4.0 for Windows/NM76DD2NN5OG5VHK5TQMZV3OO3T6UDAK_pre.pdf","output/by_producer/Acrobat Distiller 4.0 for Windows/NM76DD2NN5OG5VHK5TQMZV3OO3T6UDAK_post.pdf"
"MBYNVOAVDILB2AZ6AU7FGZA3BWG3XXZ4","Acrobat Distiller 4.0 for Windows","ACOMP.exe WinVer 1b43 jul 14 2003","Acrobat Distiller 4.0 for Windows","Acrobat_Distiller","output/by_producer/Acrobat Distiller 4.0 for Windows/MBYNVOAVDILB2AZ6AU7FGZA3BWG3XXZ4_pre.pdf","output/by_producer/Acrobat Distiller 4.0 for Windows/MBYNVOAVDILB2AZ6AU7FGZA3BWG3XXZ4_post.pdf"
"YMIVA7BMYFO2CPSIOO7XA2XMMGNCOOEP","TCPDF 2.5.000_PHP4 (http://www.tcpdf.org)","Joomla! 1.5 - Open Source Content Management","TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)","TCPDF","output/by_producer/TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)/YMIVA7BMYFO2CPSIOO7XA2XMMGNCOOEP_pre.pdf","output/by_producer/TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)/YMIVA7BMYFO2CPSIOO7XA2XMMGNCOOEP_post.pdf"
"B3LIWULH323OKSAJATTM7QK5O7KKYMCA","Acrobat Distiller 8.0.0 (Windows)","PScript5.dll Version 5.2.2","Acrobat Distiller 8.0.0 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 8.0.0 (Windows)/B3LIWULH323OKSAJATTM7QK5O7KKYMCA_pre.pdf","output/by_producer/Acrobat Distiller 8.0.0 (Windows)/B3LIWULH323OKSAJATTM7QK5O7KKYMCA_post.pdf"
"U55XYWRRRDDHAJPPHG6QWKZSAVKMQ5W5","Acrobat Distiller 6.0 (Windows)","Acrobat PDFMaker 6.0 for Word","Acrobat Distiller 6.0 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 6.0 (Windows)/U55XYWRRRDDHAJPPHG6QWKZSAVKMQ5W5_pre.pdf","output/by_producer/Acrobat Distiller 6.0 (Windows)/U55XYWRRRDDHAJPPHG6QWKZSAVKMQ5W5_post.pdf"
"YIP65EJXPWIYWFTBYZWYMPFEVV43FAV3","Acrobat Distiller 9.0.0 (Windows)","PScript5.dll Version 5.2.2","Acrobat Distiller 9.0.0 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 9.0.0 (Windows)/YIP65EJXPWIYWFTBYZWYMPFEVV43FAV3_pre.pdf","output/by_producer/Acrobat Distiller 9.0.0 (Windows)/YIP65EJXPWIYWFTBYZWYMPFEVV43FAV3_post.pdf"
"PF723CIBZRC6AIJQB6TLTUEH337JMWP6","PD4ML. HTML to PDF Converter for Java","PD4ML. HTML to PDF Converter for Java","PD4ML. HTML to PDF Converter for Java","PD4ML","output/by_producer/PD4ML. HTML to PDF Converter for Java/PF723CIBZRC6AIJQB6TLTUEH337JMWP6_pre.pdf","output/by_producer/PD4ML. HTML to PDF Converter for Java/PF723CIBZRC6AIJQB6TLTUEH337JMWP6_post.pdf"
"32PQ6TLRU26TDGA4NLYBMYEHYGX3X7US","Acrobat PDFWriter 3.03 for Windows NT","Microsoft Word - MYTHS.DOC","Acrobat PDFWriter 3.03 for Windows NT","Acrobat_PDFWriter","output/by_producer/Acrobat PDFWriter 3.03 for Windows NT/32PQ6TLRU26TDGA4NLYBMYEHYGX3X7US_pre.pdf","output/by_producer/Acrobat PDFWriter 3.03 for Windows NT/32PQ6TLRU26TDGA4NLYBMYEHYGX3X7US_post.pdf"
"ZKNFU42LM7BXETBTWEC42DOXCGU2MDLS","Adobe PDF library 8.00","Adobe Illustrator CS3","Adobe PDF library 8.00","Adobe_PDF_Library","output/by_producer/Adobe PDF library 8.00/ZKNFU42LM7BXETBTWEC42DOXCGU2MDLS_pre.pdf","output/by_producer/Adobe PDF library 8.00/ZKNFU42LM7BXETBTWEC42DOXCGU2MDLS_post.pdf"
"FWVM2CX6UZ6CPTNRTPSAUCGZ72UZJAAP","Acrobat 5.0 Scan Plug-in for Windows","Acrobat 5.0 Scan Plug-in for Windows","Acrobat 5.0 Scan Plug-in for Windows","Capture_Scan_Plugins","output/by_producer/Acrobat 5.0 Scan Plug-in for Windows/FWVM2CX6UZ6CPTNRTPSAUCGZ72UZJAAP_pre.pdf","output/by_producer/Acrobat 5.0 Scan Plug-in for Windows/FWVM2CX6UZ6CPTNRTPSAUCGZ72UZJAAP_post.pdf"
"XXMOCEITLS2REBQNE745YN3E6JAODHZO","Acrobat Distiller 6.0.1 (Windows)","Acrobat PDFMaker 6.0 for Word","Acrobat Distiller 6.0.1 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 6.0.1 (Windows)/XXMOCEITLS2REBQNE745YN3E6JAODHZO_pre.pdf","output/by_producer/Acrobat Distiller 6.0.1 (Windows)/XXMOCEITLS2REBQNE745YN3E6JAODHZO_post.pdf"
"XYUJKKMUXDLLC6JTCXEWHK5ZMNSTPHF6","Acrobat Net Distiller 1.0 for Windows","-","Acrobat Net Distiller 1.0 for Windows","Acrobat_Net_Distiller","output/by_producer/Acrobat Net Distiller 1.0 for Windows/XYUJKKMUXDLLC6JTCXEWHK5ZMNSTPHF6_pre.pdf","output/by_producer/Acrobat Net Distiller 1.0 for Windows/XYUJKKMUXDLLC6JTCXEWHK5ZMNSTPHF6_post.pdf"
"VGYROI7GPRFUEH3N7Q6KKH6AVQRI2NYK","Acrobat Distiller 4.0 for Windows","-","Acrobat Distiller 4.0 for Windows","Acrobat_Distiller","output/by_producer/Acrobat Distiller 4.0 for Windows/VGYROI7GPRFUEH3N7Q6KKH6AVQRI2NYK_pre.pdf","output/by_producer/Acrobat Distiller 4.0 for Windows/VGYROI7GPRFUEH3N7Q6KKH6AVQRI2NYK_post.pdf"
"YCFQUUS35NVOW5GBRHUQLBG5Z6WV7CL4","Acrobat Distiller 5.0.5 (Windows)","-","Acrobat Distiller 5.0.5 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 5.0.5 (Windows)/YCFQUUS35NVOW5GBRHUQLBG5Z6WV7CL4_pre.pdf","output/by_producer/Acrobat Distiller 5.0.5 (Windows)/YCFQUUS35NVOW5GBRHUQLBG5Z6WV7CL4_post.pdf"
"FHODZ536VRZSXNKLBKFISFM4BYJY5MA6","Acrobat Distiller 5.0 (Windows)","Acrobat PDFMaker 5.0 for Word","Acrobat Distiller 5.0 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 5.0 (Windows)/FHODZ536VRZSXNKLBKFISFM4BYJY5MA6_pre.pdf","output/by_producer/Acrobat Distiller 5.0 (Windows)/FHODZ536VRZSXNKLBKFISFM4BYJY5MA6_post.pdf"
"UEMMUYNAALNXKRS5ILRPOG726T7H5LFC","activePDF Server","Server http://www.activepdf.com","activePDF Server","Unknown","output/by_producer/activePDF Server/UEMMUYNAALNXKRS5ILRPOG726T7H5LFC_pre.pdf","output/by_producer/activePDF Server/UEMMUYNAALNXKRS5ILRPOG726T7H5LFC_post.pdf"
"LG7ANCL4BE4CFH6R7XGVRWAQANBXXXBD","Adobe Acrobat 7.08 Image Conversion Plug-in","Adobe Acrobat 7.08","Adobe Acrobat 7.08 Image Conversion Plug-in","Capture_Scan_Plugins","output/by_producer/Adobe Acrobat 7.08 Image Conversion Plug-in/LG7ANCL4BE4CFH6R7XGVRWAQANBXXXBD_pre.pdf","output/by_producer/Adobe Acrobat 7.08 Image Conversion Plug-in/LG7ANCL4BE4CFH6R7XGVRWAQANBXXXBD_post.pdf"
"2GFKZ3FSJWFKVKALUPEYHSLSHEJ3OGA6","Acrobat PDFWriter 5.0 for Windows NT","Quattro Pro - [3-CHAPTER 11 BY STATE.qpw:CT]","Acrobat PDFWriter 5.0 for Windows NT","Acrobat_PDFWriter","output/by_producer/Acrobat PDFWriter 5.0 for Windows NT/2GFKZ3FSJWFKVKALUPEYHSLSHEJ3OGA6_pre.pdf","output/by_producer/Acrobat PDFWriter 5.0 for Windows NT/2GFKZ3FSJWFKVKALUPEYHSLSHEJ3OGA6_post.pdf"
"U7OKI6X3E3WT4VGYZ3UEQHTPYGLID22Z","Acrobat Distiller 7.0 (Windows)","Acrobat PDFMaker 7.0 for Word","Acrobat Distiller 7.0 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 7.0 (Windows)/U7OKI6X3E3WT4VGYZ3UEQHTPYGLID22Z_pre.pdf","output/by_producer/Acrobat Distiller 7.0 (Windows)/U7OKI6X3E3WT4VGYZ3UEQHTPYGLID22Z_post.pdf"
"EMMM5FRYBCPVBLVU4RY6OFEKZFWM2KIJ","Acrobat Distiller 6.0 (Windows)","lp3820 v2.3","Acrobat Distiller 6.0 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 6.0 (Windows)/EMMM5FRYBCPVBLVU4RY6OFEKZFWM2KIJ_pre.pdf","output/by_producer/Acrobat Distiller 6.0 (Windows)/EMMM5FRYBCPVBLVU4RY6OFEKZFWM2KIJ_post.pdf"
"UVYRVFB5BCPH4AQFJKWX2KAUBHBYJO7B","Acrobat Distiller 6.0 (Windows)","PScript5.dll Version 5.2.2","Acrobat Distiller 6.0 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 6.0 (Windows)/UVYRVFB5BCPH4AQFJKWX2KAUBHBYJO7B_pre.pdf","output/by_producer/Acrobat Distiller 6.0 (Windows)/UVYRVFB5BCPH4AQFJKWX2KAUBHBYJO7B_post.pdf"
"XLXYJ2Y3MNRFYEKWJ4VFACQHPYGFASLZ","Unknown producer","R and OS php pdf writer, http://www.ros.co.nz","Unknown producer","Unknown","output/by_producer/Unknown producer/XLXYJ2Y3MNRFYEKWJ4VFACQHPYGFASLZ_pre.pdf","output/by_producer/Unknown producer/XLXYJ2Y3MNRFYEKWJ4VFACQHPYGFASLZ_post.pdf"
"6HTC5FVAQW3DVHYRD7PVJGBBQS7GRZTL","Adobe PDF Library 8.0","Adobe InDesign CS3 (5.0.4)","Adobe PDF Library 8.0","Adobe_PDF_Library","output/by_producer/Adobe PDF Library 8.0/6HTC5FVAQW3DVHYRD7PVJGBBQS7GRZTL_pre.pdf","output/by_producer/Adobe PDF Library 8.0/6HTC5FVAQW3DVHYRD7PVJGBBQS7GRZTL_post.pdf"
"FP3RQFKAHYT65A4O7T2B526NDPVG7D7I","Microsoft® Office Word 2007","Microsoft® Office Word 2007","Microsoft® Office Word 2007","Microsoft_Office","output/by_producer/Microsoft® Office Word 2007/FP3RQFKAHYT65A4O7T2B526NDPVG7D7I_pre.pdf","output/by_producer/Microsoft® Office Word 2007/FP3RQFKAHYT65A4O7T2B526NDPVG7D7I_post.pdf"
"DT6DEEFX7TAPKGTNNF5C4FOJQQ3QLCQV","Acrobat Distiller 5.0.5 for Macintosh","PScript5.dll Version 5.2","Acrobat Distiller 5.0.5 for Macintosh","Acrobat_Distiller","output/by_producer/Acrobat Distiller 5.0.5 for Macintosh/DT6DEEFX7TAPKGTNNF5C4FOJQQ3QLCQV_pre.pdf","output/by_producer/Acrobat Distiller 5.0.5 for Macintosh/DT6DEEFX7TAPKGTNNF5C4FOJQQ3QLCQV_post.pdf"
"KA545DH3SDEIKBX5MLR7QZVYWYBKBGLV","Acrobat Distiller 9.4.0 (Windows)","PScript5.dll Version 5.2.2","Acrobat Distiller 9.4.0 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 9.4.0 (Windows)/KA545DH3SDEIKBX5MLR7QZVYWYBKBGLV_pre.pdf","output/by_producer/Acrobat Distiller 9.4.0 (Windows)/KA545DH3SDEIKBX5MLR7QZVYWYBKBGLV_post.pdf"
"TU5MAMSG2RMTDZQDKBULDLWSVH6GSYHX","Acrobat Distiller 8.1.0 (Windows)","Adobe InDesign CS2 (4.0.5)","Acrobat Distiller 8.1.0 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 8.1.0 (Windows)/TU5MAMSG2RMTDZQDKBULDLWSVH6GSYHX_pre.pdf","output/by_producer/Acrobat Distiller 8.1.0 (Windows)/TU5MAMSG2RMTDZQDKBULDLWSVH6GSYHX_post.pdf"
"XIUQD2OYDIFIKQY5T5AHYPEFOP4XZFS7","Acrobat Distiller 5.0.5 (Windows)","PScript5.dll Version 5.2","Acrobat Distiller 5.0.5 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 5.0.5 (Windows)/XIUQD2OYDIFIKQY5T5AHYPEFOP4XZFS7_pre.pdf","output/by_producer/Acrobat Distiller 5.0.5 (Windows)/XIUQD2OYDIFIKQY5T5AHYPEFOP4XZFS7_post.pdf"
"FKXAOBO27MSNKEA6PNS6P54HNFPMSNLL","Unknown producer","ESRI ArcMap 9.2.4.1420","Unknown producer","Unknown","output/by_producer/Unknown producer/FKXAOBO27MSNKEA6PNS6P54HNFPMSNLL_pre.pdf","output/by_producer/Unknown producer/FKXAOBO27MSNKEA6PNS6P54HNFPMSNLL_post.pdf"
"CZOP2ITFIK5GAH4SD3GJI755X7QFUHM3","Acrobat Distiller 6.0 (Windows)","Acrobat PDFMaker 6.0 for Word","Acrobat Distiller 6.0 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 6.0 (Windows)/CZOP2ITFIK5GAH4SD3GJI755X7QFUHM3_pre.pdf","output/by_producer/Acrobat Distiller 6.0 (Windows)/CZOP2ITFIK5GAH4SD3GJI755X7QFUHM3_post.pdf"
"WLUAX2RQFFLXPSP5PKEYYVKFLPVPWFZ6","libtiff / tiff2pdf - 20100615","-","libtiff _ tiff2pdf - 20100615","libtiff_tiff2pdf","output/by_producer/libtiff _ tiff2pdf - 20100615/WLUAX2RQFFLXPSP5PKEYYVKFLPVPWFZ6_pre.pdf","output/by_producer/libtiff _ tiff2pdf - 20100615/WLUAX2RQFFLXPSP5PKEYYVKFLPVPWFZ6_post.pdf"
"OFO3SJTRTB4AFSNSLMQ7IQ5XYAJM7SNC","Unknown producer","-","Unknown producer","Unknown","output/by_producer/Unknown producer/OFO3SJTRTB4AFSNSLMQ7IQ5XYAJM7SNC_pre.pdf","output/by_producer/Unknown producer/OFO3SJTRTB4AFSNSLMQ7IQ5XYAJM7SNC_post.pdf"
"44PBM3B5SUUOF74NERNZAUH2PBBU5SPB","Adobe Acrobat 8.11 Paper Capture Plug-in","-","Adobe Acrobat 8.11 Paper Capture Plug-in","Capture_Scan_Plugins","output/by_producer/Adobe Acrobat 8.11 Paper Capture Plug-in/44PBM3B5SUUOF74NERNZAUH2PBBU5SPB_pre.pdf","output/by_producer/Adobe Acrobat 8.11 Paper Capture Plug-in/44PBM3B5SUUOF74NERNZAUH2PBBU5SPB_post.pdf"
"O7L5CYQXFDOBSVKIJYAENIFCV6NZK7CG","iText 2.0.0 (by lowagie.com)","-","iText 2.0.0 (by lowagie.com)","iText","output/by_producer/iText 2.0.0 (by lowagie.com)/O7L5CYQXFDOBSVKIJYAENIFCV6NZK7CG_pre.pdf","output/by_producer/iText 2.0.0 (by lowagie.com)/O7L5CYQXFDOBSVKIJYAENIFCV6NZK7CG_post.pdf"
"2LVOKCURIEQKLK43I6T7QLYYQX3RQUXX","Acrobat Distiller 5.0.5 (Windows)","PScript5.dll Version 5.2","Acrobat Distiller 5.0.5 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 5.0.5 (Windows)/2LVOKCURIEQKLK43I6T7QLYYQX3RQUXX_pre.pdf","output/by_producer/Acrobat Distiller 5.0.5 (Windows)/2LVOKCURIEQKLK43I6T7QLYYQX3RQUXX_post.pdf"
"GF4OGED6DIFR5WHABHTLSTFV7656GKN3","Adobe PDF Library 9.0","Acrobat PDFMaker 9.1 for Word","Adobe PDF Library 9.0","Adobe_PDF_Library","output/by_producer/Adobe PDF Library 9.0/GF4OGED6DIFR5WHABHTLSTFV7656GKN3_pre.pdf","output/by_producer/Adobe PDF Library 9.0/GF4OGED6DIFR5WHABHTLSTFV7656GKN3_post.pdf"
"74JU6CDDK5QMBF2HTCNUWTUTJZJONVWI","Acrobat Distiller 6.0.1 (Windows)","Acrobat PDFMaker 6.0 for Word","Acrobat Distiller 6.0.1 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 6.0.1 (Windows)/74JU6CDDK5QMBF2HTCNUWTUTJZJONVWI_pre.pdf","output/by_producer/Acrobat Distiller 6.0.1 (Windows)/74JU6CDDK5QMBF2HTCNUWTUTJZJONVWI_post.pdf"
"GS5DOB2Q5E234R3L6T4MXMRGJQFXVY7L","Adobe Acrobat 6.0 Paper Capture","FUJITSU fi-4220C2dj","Adobe Acrobat 6.0 Paper Capture","Capture_Scan_Plugins","output/by_producer/Adobe Acrobat 6.0 Paper Capture/GS5DOB2Q5E234R3L6T4MXMRGJQFXVY7L_pre.pdf","output/by_producer/Adobe Acrobat 6.0 Paper Capture/GS5DOB2Q5E234R3L6T4MXMRGJQFXVY7L_post.pdf"
"RH7T2UORLNLLG7HRFR3HL7W572F5S6YY","Acrobat Distiller 6.0.1 (Windows)","Acrobat PDFMaker 6.0 for Word","Acrobat Distiller 6.0.1 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 6.0.1 (Windows)/RH7T2UORLNLLG7HRFR3HL7W572F5S6YY_pre.pdf","output/by_producer/Acrobat Distiller 6.0.1 (Windows)/RH7T2UORLNLLG7HRFR3HL7W572F5S6YY_post.pdf"
