digest,producer,creator,producer_folder,class,pre_path,post_path
"4CWINULHRRVWF33LXZE4U5EEHETC2SI6","Adobe Acrobat 7.08 Paper Capture Plug-in","Adobe Acrobat 7.08","Adobe Acrobat 7.08 Paper Capture Plug-in","Capture_Scan_Plugins","output/by_producer/Adobe Acrobat 7.08 Paper Capture Plug-in/4CWINULHRRVWF33LXZE4U5EEHETC2SI6_pre.pdf","output/by_producer/Adobe Acrobat 7.08 Paper Capture Plug-in/4CWINULHRRVWF33LXZE4U5EEHETC2SI6_post.pdf"
"KO7GGF3RMJJSMBTJWM7BCRBQ4UJJ26VL","Acrobat Distiller 6.0 (Windows)","PScript5.dll Version 5.2.2","Acrobat Distiller 6.0 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 6.0 (Windows)/KO7GGF3RMJJSMBTJWM7BCRBQ4UJJ26VL_pre.pdf","output/by_producer/Acrobat Distiller 6.0 (Windows)/KO7GGF3RMJJSMBTJWM7BCRBQ4UJJ26VL_post.pdf"
"FNLYS665QK2JZN5NXLAK22QOTNQTN2U3","mPDF 5.7","United States Bankruptcy Court","mPDF 5.7","mPDF","output/by_producer/mPDF 5.7/FNLYS665QK2JZN5NXLAK22QOTNQTN2U3_pre.pdf","output/by_producer/mPDF 5.7/FNLYS665QK2JZN5NXLAK22QOTNQTN2U3_post.pdf"
"WIXGOEH55ET7IKPZ7WA63JSQT6HB4PJR","Acrobat Distiller 6.0.1 (Windows)","PScript5.dll Version 5.2","Acrobat Distiller 6.0.1 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 6.0.1 (Windows)/WIXGOEH55ET7IKPZ7WA63JSQT6HB4PJR_pre.pdf","output/by_producer/Acrobat Distiller 6.0.1 (Windows)/WIXGOEH55ET7IKPZ7WA63JSQT6HB4PJR_post.pdf"
"YAHGIFMMSIKCA46JFMWO52HZ7YSVKKIL","Acrobat Distiller 8.0.0 (Windows)","PScript5.dll Version 5.2.2","Acrobat Distiller 8.0.0 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 8.0.0 (Windows)/YAHGIFMMSIKCA46JFMWO52HZ7YSVKKIL_pre.pdf","output/by_producer/Acrobat Distiller 8.0.0 (Windows)/YAHGIFMMSIKCA46JFMWO52HZ7YSVKKIL_post.pdf"
"SQSXIT5KUD33XPR7ABPDCGW4XGQGAQYH","DISLIN 7.6","-","DISLIN 7.6","Unknown","output/by_producer/DISLIN 7.6/SQSXIT5KUD33XPR7ABPDCGW4XGQGAQYH_pre.pdf","output/by_producer/DISLIN 7.6/SQSXIT5KUD33XPR7ABPDCGW4XGQGAQYH_post.pdf"
"YE5PQJ6NUYA6UOWHADZIVVMCINU4AYZF","Acrobat Distiller 2.1 for Windows","-","Acrobat Distiller 2.1 for Windows","Acrobat_Distiller","output/by_producer/Acrobat Distiller 2.1 for Windows/YE5PQJ6NUYA6UOWHADZIVVMCINU4AYZF_pre.pdf","output/by_producer/Acrobat Distiller 2.1 for Windows/YE5PQJ6NUYA6UOWHADZIVVMCINU4AYZF_post.pdf"
"L3YHCAZRLQVYA7O4G6SG5BQHUREJTYQO","ELAN PDF 2.3","-","ELAN PDF 2.3","Unknown","output/by_producer/ELAN PDF 2.3/L3YHCAZRLQVYA7O4G6SG5BQHUREJTYQO_pre.pdf","output/by_producer/ELAN PDF 2.3/L3YHCAZRLQVYA7O4G6SG5BQHUREJTYQO_post.pdf"
"CT6O4FXETQ2ABBLKKRWK5E344XQA73C3","Unknown producer","R and OS php pdf writer, http://www.ros.co.nz","Unknown producer","Unknown","output/by_producer/Unknown producer/CT6O4FXETQ2ABBLKKRWK5E344XQA73C3_pre.pdf","output/by_producer/Unknown producer/CT6O4FXETQ2ABBLKKRWK5E344XQA73C3_post.pdf"
"2S672A3DIW3E7MHKG25AHSCC7GP5IWSS","TCPDF 2.5.000_PHP4 (http://www.tcpdf.org)","Joomla! 1.5 - Open Source Content Management","TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)","TCPDF","output/by_producer/TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)/2S672A3DIW3E7MHKG25AHSCC7GP5IWSS_pre.pdf","output/by_producer/TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)/2S672A3DIW3E7MHKG25AHSCC7GP5IWSS_post.pdf"
"XB3VOX3H7BDY3WWU64AV6W65H5KVM2RX","Microsoft® Office Word 2007","Microsoft® Office Word 2007","Microsoft® Office Word 2007","Microsoft_Office","output/by_producer/Microsoft® Office Word 2007/XB3VOX3H7BDY3WWU64AV6W65H5KVM2RX_pre.pdf","output/by_producer/Microsoft® Office Word 2007/XB3VOX3H7BDY3WWU64AV6W65H5KVM2RX_post.pdf"
